"year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile"
2015,"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Chemical Engineering",87.5,79.2,2759,2800,2970,2950,2800,3200
2015,"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Electrical Engineering & Information Technology",100,90,3044,3100,3339,3250,3000,3488
2015,"Singapore Institute of Technology","The Culinary Institute of America","Bachelor of Professional Studies in Culinary Arts Management",92.6,81.5,2482,2300,2586,2400,2000,2800
2015,"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Diagnostic Radiography)",100,100,3322,3300,3486,3488,3313,3650
2015,"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Occupational Therapy)",100,100,3126,3120,3149,3125,3000,3225
2015,"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Physiotherapy)",100,98.3,3234,3200,3310,3222,3200,3500
2015,"Singapore Institute of Technology","University of Glasgow","Bachelor of Engineering with Honours in Aeronautical Engineering",81.6,73.7,2766,3000,2840,3000,2614,3293
2015,"Singapore Institute of Technology","University of Glasgow","Bachelor of Engineering with Honours in Aerospace Systems",83.3,70.8,3128,3000,3185,3000,2882,3300
2015,"Singapore Institute of Technology","University of Glasgow","Bachelor of Engineering with Honours in Mechanical Design Engineering",72.2,61.1,3160,3000,3685,3250,2960,4200
2015,"Singapore Institute of Technology","University of Glasgow","Bachelor of Engineering with Honours in Mechatronics",96.4,94.5,3202,3000,3404,3100,2975,3875
2015,"Singapore Institute of Technology","University of Glasgow","Bachelor of Science with Honours in Computing Science",95.6,86.7,3247,3250,3391,3300,3152,3400
2015,"Singapore Institute of Technology","University of Manchester","Bachelor of Science with Honours in Nursing Practice",98.3,96.7,3304,3400,3624,3615,3400,3838
2015,"Singapore Institute of Technology","University of Nevada, Las Vegas","Bachelor of Science (Major in Hospitality Management)",89.9,82.6,2515,2500,2607,2548,2338,2850
2015,"Singapore Institute of Technology","Wheelock College","Bachelor of Science in Early Childhood Education",100,96.4,2772,2700,2807,2700,2608,3000
2016,"Nanyang Technological University","College of Engineering","Aerospace Engineering",82.4,77.9,3761,3625,3840,3675,3350,4435
2016,"Nanyang Technological University","College of Engineering","Bioengineering",77.8,63.9,3151,3200,3317,3237,3000,3510
2016,"Nanyang Technological University","College of Engineering","Chemical And Biomolecular Engineering",80.6,72.6,3336,3225,3476,3400,3200,3800
2016,"Nanyang Technological University","College of Engineering","Civil Engineering",92.4,91.6,3407,3250,3505,3300,3200,3800
